id,carat,price,cut,cut_nom,clarity,clarity_nom,color,color_nom,diamond_shape,ring_setting,metal_quality,merchant_title,ring_title,ring_description,prod_name_raw,mrch_id,product_url,image_url,image_url2,image_url3,ring_metal,votes,local_merchant_flag,priority_score,merchant_city
11,0.5,4141,Very Good,3,VVS1,6,D,7,Round,Solitaire,Gold,Davidson & Licht,Precision by Davidson & Licht  7203,Petite FlushFit Solitaire 2.7MM Band Engagement Ring ,Precision by Davidson & Licht  7203,1,http://www.davidsonandlicht.com/product/7203-2/,http://www.davidsonandlicht.com/wp-content/uploads/7203Y_c1-507x380.jpg,http://www.davidsonandlicht.com/wp-content/uploads/7203Y_c2-199x149.jpg,http://www.davidsonandlicht.com/wp-content/uploads/7203Y_c3-199x149.jpg,Gold,1,1,1,3
12,0.5,4141,Very Good,3,VVS1,6,D,7,Round,Solitaire,rose gold,Davidson & Licht,Precision by Davidson & Licht  7203,Petite FlushFit Solitaire 2.7MM Band Engagement Ring ,Precision by Davidson & Licht  7203,1,http://www.davidsonandlicht.com/product/7203-2/,http://www.davidsonandlicht.com/wp-content/uploads/7203Y_c1-507x380.jpg,http://www.davidsonandlicht.com/wp-content/uploads/7203Y_c2-199x149.jpg,http://www.davidsonandlicht.com/wp-content/uploads/7203Y_c3-199x149.jpg,rose gold,1,1,1,3
13,0.75,5483,Very Good,3,VS1,4,D,7,Round,Solitaire,Gold,Davidson & Licht,Precision by Davidson & Licht  7203,Petite FlushFit Solitaire 2.7MM Band Engagement Ring ,Precision by Davidson & Licht  7203,1,http://www.davidsonandlicht.com/product/7203-2/,http://www.davidsonandlicht.com/wp-content/uploads/7203Y_c1-507x380.jpg,http://www.davidsonandlicht.com/wp-content/uploads/7203Y_c2-199x149.jpg,http://www.davidsonandlicht.com/wp-content/uploads/7203Y_c3-199x149.jpg,Gold,1,1,1,3
14,0.75,5483,Very Good,3,VS1,4,D,7,Round,Solitaire,rose gold,Davidson & Licht,Precision by Davidson & Licht  7203,Petite FlushFit Solitaire 2.7MM Band Engagement Ring ,Precision by Davidson & Licht  7203,1,http://www.davidsonandlicht.com/product/7203-2/,http://www.davidsonandlicht.com/wp-content/uploads/7203Y_c1-507x380.jpg,http://www.davidsonandlicht.com/wp-content/uploads/7203Y_c2-199x149.jpg,http://www.davidsonandlicht.com/wp-content/uploads/7203Y_c3-199x149.jpg,rose gold,1,1,1,3
15,0.25,2346,Very Good,3,VS1,4,D,7,Round,Pave,Gold,Davidson & Licht,Precision by Davidson & Licht  7204,Petite FlushFit Channel Set Diamond Engagment Ring,Precision by Davidson & Licht  7204,1,http://www.davidsonandlicht.com/product/7204-2/,http://www.davidsonandlicht.com/wp-content/uploads/7204Y_c1-507x380.jpg,http://www.davidsonandlicht.com/wp-content/uploads/7204Y_c2-199x149.jpg,http://www.davidsonandlicht.com/wp-content/uploads/7204Y_c3-199x149.jpg,Gold,1,1,1,3
16,0.25,2346,Very Good,3,VS1,4,D,7,Round,Pave,rose gold,Davidson & Licht,Precision by Davidson & Licht  7204,Petite FlushFit Channel Set Diamond Engagment Ring,Precision by Davidson & Licht  7204,1,http://www.davidsonandlicht.com/product/7204-2/,http://www.davidsonandlicht.com/wp-content/uploads/7204Y_c1-507x380.jpg,http://www.davidsonandlicht.com/wp-content/uploads/7204Y_c2-199x149.jpg,http://www.davidsonandlicht.com/wp-content/uploads/7204Y_c3-199x149.jpg,rose gold,1,1,1,3
17,0.5,4613,Very Good,3,VS1,4,D,7,Round,Pave,Gold,Davidson & Licht,Precision by Davidson & Licht  7204,Petite FlushFit Channel Set Diamond Engagment Ring,Precision by Davidson & Licht  7204,1,http://www.davidsonandlicht.com/product/7204-2/,http://www.davidsonandlicht.com/wp-content/uploads/7204Y_c1-507x380.jpg,http://www.davidsonandlicht.com/wp-content/uploads/7204Y_c2-199x149.jpg,http://www.davidsonandlicht.com/wp-content/uploads/7204Y_c3-199x149.jpg,Gold,1,1,1,3
18,0.5,4613,Very Good,3,VS1,4,D,7,Round,Pave,rose gold,Davidson & Licht,Precision by Davidson & Licht  7204,Petite FlushFit Channel Set Diamond Engagment Ring,Precision by Davidson & Licht  7204,1,http://www.davidsonandlicht.com/product/7204-2/,http://www.davidsonandlicht.com/wp-content/uploads/7204Y_c1-507x380.jpg,http://www.davidsonandlicht.com/wp-content/uploads/7204Y_c2-199x149.jpg,http://www.davidsonandlicht.com/wp-content/uploads/7204Y_c3-199x149.jpg,rose gold,1,1,1,3
19,0.5,4636,Very Good,3,VVS1,6,D,7,Round,Pave,Gold,Davidson & Licht,Precision by Davidson & Licht  7204,Petite FlushFit Channel Set Diamond Engagment Ring,Precision by Davidson & Licht  7204,1,http://www.davidsonandlicht.com/product/7204-2/,http://www.davidsonandlicht.com/wp-content/uploads/7204Y_c1-507x380.jpg,http://www.davidsonandlicht.com/wp-content/uploads/7204Y_c2-199x149.jpg,http://www.davidsonandlicht.com/wp-content/uploads/7204Y_c3-199x149.jpg,Gold,1,1,1,3
20,0.5,4636,Very Good,3,VVS1,6,D,7,Round,Pave,rose gold,Davidson & Licht,Precision by Davidson & Licht  7204,Petite FlushFit Channel Set Diamond Engagment Ring,Precision by Davidson & Licht  7204,1,http://www.davidsonandlicht.com/product/7204-2/,http://www.davidsonandlicht.com/wp-content/uploads/7204Y_c1-507x380.jpg,http://www.davidsonandlicht.com/wp-content/uploads/7204Y_c2-199x149.jpg,http://www.davidsonandlicht.com/wp-content/uploads/7204Y_c3-199x149.jpg,rose gold,1,1,1,3
21,0.75,5978,Very Good,3,VS1,4,D,7,Round,Pave,Gold,Davidson & Licht,Precision by Davidson & Licht  7204,Petite FlushFit Channel Set Diamond Engagment Ring,Precision by Davidson & Licht  7204,1,http://www.davidsonandlicht.com/product/7204-2/,http://www.davidsonandlicht.com/wp-content/uploads/7204Y_c1-507x380.jpg,http://www.davidsonandlicht.com/wp-content/uploads/7204Y_c2-199x149.jpg,http://www.davidsonandlicht.com/wp-content/uploads/7204Y_c3-199x149.jpg,Gold,1,1,1,3
22,0.75,5978,Very Good,3,VS1,4,D,7,Round,Pave,rose gold,Davidson & Licht,Precision by Davidson & Licht  7204,Petite FlushFit Channel Set Diamond Engagment Ring,Precision by Davidson & Licht  7204,1,http://www.davidsonandlicht.com/product/7204-2/,http://www.davidsonandlicht.com/wp-content/uploads/7204Y_c1-507x380.jpg,http://www.davidsonandlicht.com/wp-content/uploads/7204Y_c2-199x149.jpg,http://www.davidsonandlicht.com/wp-content/uploads/7204Y_c3-199x149.jpg,rose gold,1,1,1,3
23,0.75,6563,Very Good,3,VVS1,6,D,7,Round,Pave,Gold,Davidson & Licht,Precision by Davidson & Licht  7204,Petite FlushFit Channel Set Diamond Engagment Ring,Precision by Davidson & Licht  7204,1,http://www.davidsonandlicht.com/product/7204-2/,http://www.davidsonandlicht.com/wp-content/uploads/7204Y_c1-507x380.jpg,http://www.davidsonandlicht.com/wp-content/uploads/7204Y_c2-199x149.jpg,http://www.davidsonandlicht.com/wp-content/uploads/7204Y_c3-199x149.jpg,Gold,1,1,1,3
24,0.75,6563,Very Good,3,VVS1,6,D,7,Round,Pave,rose gold,Davidson & Licht,Precision by Davidson & Licht  7204,Petite FlushFit Channel Set Diamond Engagment Ring,Precision by Davidson & Licht  7204,1,http://www.davidsonandlicht.com/product/7204-2/,http://www.davidsonandlicht.com/wp-content/uploads/7204Y_c1-507x380.jpg,http://www.davidsonandlicht.com/wp-content/uploads/7204Y_c2-199x149.jpg,http://www.davidsonandlicht.com/wp-content/uploads/7204Y_c3-199x149.jpg,rose gold,1,1,1,3
25,1,11258,Very Good,3,VS1,4,D,7,Round,Pave,Gold,Davidson & Licht,Precision by Davidson & Licht  7204,Petite FlushFit Channel Set Diamond Engagment Ring,Precision by Davidson & Licht  7204,1,http://www.davidsonandlicht.com/product/7204-2/,http://www.davidsonandlicht.com/wp-content/uploads/7204Y_c1-507x380.jpg,http://www.davidsonandlicht.com/wp-content/uploads/7204Y_c2-199x149.jpg,http://www.davidsonandlicht.com/wp-content/uploads/7204Y_c3-199x149.jpg,Gold,1,1,1,3
26,1,11258,Very Good,3,VS1,4,D,7,Round,Pave,rose gold,Davidson & Licht,Precision by Davidson & Licht  7204,Petite FlushFit Channel Set Diamond Engagment Ring,Precision by Davidson & Licht  7204,1,http://www.davidsonandlicht.com/product/7204-2/,http://www.davidsonandlicht.com/wp-content/uploads/7204Y_c1-507x380.jpg,http://www.davidsonandlicht.com/wp-content/uploads/7204Y_c2-199x149.jpg,http://www.davidsonandlicht.com/wp-content/uploads/7204Y_c3-199x149.jpg,rose gold,1,1,1,3
27,1,14282,Very Good,3,VVS1,6,D,7,Round,Pave,Gold,Davidson & Licht,Precision by Davidson & Licht  7204,Petite FlushFit Channel Set Diamond Engagment Ring,Precision by Davidson & Licht  7204,1,http://www.davidsonandlicht.com/product/7204-2/,http://www.davidsonandlicht.com/wp-content/uploads/7204Y_c1-507x380.jpg,http://www.davidsonandlicht.com/wp-content/uploads/7204Y_c2-199x149.jpg,http://www.davidsonandlicht.com/wp-content/uploads/7204Y_c3-199x149.jpg,Gold,1,1,1,3
28,1,14282,Very Good,3,VVS1,6,D,7,Round,Pave,rose gold,Davidson & Licht,Precision by Davidson & Licht  7204,Petite FlushFit Channel Set Diamond Engagment Ring,Precision by Davidson & Licht  7204,1,http://www.davidsonandlicht.com/product/7204-2/,http://www.davidsonandlicht.com/wp-content/uploads/7204Y_c1-507x380.jpg,http://www.davidsonandlicht.com/wp-content/uploads/7204Y_c2-199x149.jpg,http://www.davidsonandlicht.com/wp-content/uploads/7204Y_c3-199x149.jpg,rose gold,1,1,1,3
29,1,12853,Very Good,3,VVS1,6,D,7,Emerald,3 Stone,White Gold,Davidson & Licht,H. Levi  565,Basket  3 Stn. Plat. Cntr EM 0.75ct. Sides EM 0.50ctw,H. Levi  565,1,http://www.davidsonandlicht.com/product/565/,http://www.davidsonandlicht.com/wp-content/uploads/565-B-507x380.jpg,,,White Gold,1,1,1,3
30,1,13853,Very Good,3,VVS1,6,D,7,Emerald,3 Stone,Platinum,Davidson & Licht,H. Levi  565,Basket  3 Stn. Plat. Cntr EM 0.75ct. Sides EM 0.50ctw,H. Levi  565,1,http://www.davidsonandlicht.com/product/565/,http://www.davidsonandlicht.com/wp-content/uploads/565-B-507x380.jpg,,,Platinum,1,1,1,3
31,1,14353,Very Good,3,VVS1,6,D,7,Emerald,3 Stone,palladium,Davidson & Licht,H. Levi  565,Basket  3 Stn. Plat. Cntr EM 0.75ct. Sides EM 0.50ctw,H. Levi  565,1,http://www.davidsonandlicht.com/product/565/,http://www.davidsonandlicht.com/wp-content/uploads/565-B-507x380.jpg,,,palladium,1,1,1,3
32,1,17490,Very Good,3,VVS1,6,D,7,Cushion,Halo,White Gold,Davidson & Licht,Precision by Davidson & Licht  2620,Extraordinary Double Cushion Halo Diamond Engagement Ring,Precision by Davidson & Licht  2620,1,http://www.davidsonandlicht.com/product/2620/,http://www.davidsonandlicht.com/wp-content/uploads/2620_C1-507x380.jpg,http://www.davidsonandlicht.com/wp-content/uploads/2620_C2-199x149.jpg,http://www.davidsonandlicht.com/wp-content/uploads/2620_C3-199x149.jpg,White Gold,1,1,1,3
33,1,18490,Very Good,3,VVS1,6,D,7,Cushion,Halo,Platinum,Davidson & Licht,Precision by Davidson & Licht  2620,Extraordinary Double Cushion Halo Diamond Engagement Ring,Precision by Davidson & Licht  2620,1,http://www.davidsonandlicht.com/product/2620/,http://www.davidsonandlicht.com/wp-content/uploads/2620_C1-507x380.jpg,http://www.davidsonandlicht.com/wp-content/uploads/2620_C2-199x149.jpg,http://www.davidsonandlicht.com/wp-content/uploads/2620_C3-199x149.jpg,Platinum,1,1,1,3
34,1,18990,Very Good,3,VVS1,6,D,7,Cushion,Halo,palladium,Davidson & Licht,Precision by Davidson & Licht  2620,Extraordinary Double Cushion Halo Diamond Engagement Ring,Precision by Davidson & Licht  2620,1,http://www.davidsonandlicht.com/product/2620/,http://www.davidsonandlicht.com/wp-content/uploads/2620_C1-507x380.jpg,http://www.davidsonandlicht.com/wp-content/uploads/2620_C2-199x149.jpg,http://www.davidsonandlicht.com/wp-content/uploads/2620_C3-199x149.jpg,palladium,1,1,1,3
35,0.25,2120,Very Good,3,VS1,4,D,7,Round,Pave,White Gold,Davidson & Licht,H. Levi  815,Split Shank Micro Pave (.30ctw)  Plat. Cntr RD .50ct,H. Levi  815,1,http://www.davidsonandlicht.com/product/815/,http://www.davidsonandlicht.com/wp-content/uploads/815-B-507x380.jpg,,,White Gold,1,1,1,3
36,0.25,3120,Very Good,3,VS1,4,D,7,Round,Pave,Platinum,Davidson & Licht,H. Levi  815,Split Shank Micro Pave (.30ctw)  Plat. Cntr RD .50ct,H. Levi  815,1,http://www.davidsonandlicht.com/product/815/,http://www.davidsonandlicht.com/wp-content/uploads/815-B-507x380.jpg,,,Platinum,1,1,1,3
37,0.25,3620,Very Good,3,VS1,4,D,7,Round,Pave,palladium,Davidson & Licht,H. Levi  815,Split Shank Micro Pave (.30ctw)  Plat. Cntr RD .50ct,H. Levi  815,1,http://www.davidsonandlicht.com/product/815/,http://www.davidsonandlicht.com/wp-content/uploads/815-B-507x380.jpg,,,palladium,1,1,1,3
38,1,9853,Very Good,3,VS1,4,D,7,Emerald,3 Stone,White Gold,Davidson & Licht,H. Levi  565,Basket  3 Stn. Plat. Cntr EM 0.75ct. Sides EM 0.50ctw,H. Levi  565,1,http://www.davidsonandlicht.com/product/565/,http://www.davidsonandlicht.com/wp-content/uploads/565-B-507x380.jpg,,,White Gold,1,1,1,3
39,1,10853,Very Good,3,VS1,4,D,7,Emerald,3 Stone,Platinum,Davidson & Licht,H. Levi  565,Basket  3 Stn. Plat. Cntr EM 0.75ct. Sides EM 0.50ctw,H. Levi  565,1,http://www.davidsonandlicht.com/product/565/,http://www.davidsonandlicht.com/wp-content/uploads/565-B-507x380.jpg,,,Platinum,1,1,1,3
40,1,11353,Very Good,3,VS1,4,D,7,Emerald,3 Stone,palladium,Davidson & Licht,H. Levi  565,Basket  3 Stn. Plat. Cntr EM 0.75ct. Sides EM 0.50ctw,H. Levi  565,1,http://www.davidsonandlicht.com/product/565/,http://www.davidsonandlicht.com/wp-content/uploads/565-B-507x380.jpg,,,palladium,1,1,1,3
41,0.75,3206,Very Good,3,VVS1,6,D,7,Princess,Solitaire,White Gold,Davidson & Licht,H. Levi  772,Basket Knife Edge  Plat. Cntr PR 0.50ct,H. Levi  772,1,http://www.davidsonandlicht.com/product/772/,http://www.davidsonandlicht.com/wp-content/uploads/772-B-507x380.jpg,,,White Gold,1,1,1,3
42,0.75,4206,Very Good,3,VVS1,6,D,7,Princess,Solitaire,Platinum,Davidson & Licht,H. Levi  772,Basket Knife Edge  Plat. Cntr PR 0.50ct,H. Levi  772,1,http://www.davidsonandlicht.com/product/772/,http://www.davidsonandlicht.com/wp-content/uploads/772-B-507x380.jpg,,,Platinum,1,1,1,3
43,0.75,4706,Very Good,3,VVS1,6,D,7,Princess,Solitaire,palladium,Davidson & Licht,H. Levi  772,Basket Knife Edge  Plat. Cntr PR 0.50ct,H. Levi  772,1,http://www.davidsonandlicht.com/product/772/,http://www.davidsonandlicht.com/wp-content/uploads/772-B-507x380.jpg,,,palladium,1,1,1,3
44,1,11151,Very Good,3,VVS1,6,D,7,Princess,Pave,White Gold,Davidson & Licht,H. Levi  774,Queen Deborah Solitaire Pave (0.06ctw)  Plat. Cntr PR 0.50ct,H. Levi  774,1,http://www.davidsonandlicht.com/product/774/,http://www.davidsonandlicht.com/wp-content/uploads/774-B-507x380.jpg,,,White Gold,1,1,1,3
45,1,12151,Very Good,3,VVS1,6,D,7,Princess,Pave,Platinum,Davidson & Licht,H. Levi  774,Queen Deborah Solitaire Pave (0.06ctw)  Plat. Cntr PR 0.50ct,H. Levi  774,1,http://www.davidsonandlicht.com/product/774/,http://www.davidsonandlicht.com/wp-content/uploads/774-B-507x380.jpg,,,Platinum,1,1,1,3
46,1,12651,Very Good,3,VVS1,6,D,7,Princess,Pave,palladium,Davidson & Licht,H. Levi  774,Queen Deborah Solitaire Pave (0.06ctw)  Plat. Cntr PR 0.50ct,H. Levi  774,1,http://www.davidsonandlicht.com/product/774/,http://www.davidsonandlicht.com/wp-content/uploads/774-B-507x380.jpg,,,palladium,1,1,1,3
47,1,10909,Very Good,3,VVS1,6,D,7,Princess,Solitaire,White Gold,Davidson & Licht,H. Levi  772,Basket Knife Edge  Plat. Cntr PR 0.50ct,H. Levi  772,1,http://www.davidsonandlicht.com/product/772/,http://www.davidsonandlicht.com/wp-content/uploads/772-B-507x380.jpg,,,White Gold,1,1,1,3
48,1,11909,Very Good,3,VVS1,6,D,7,Princess,Solitaire,Platinum,Davidson & Licht,H. Levi  772,Basket Knife Edge  Plat. Cntr PR 0.50ct,H. Levi  772,1,http://www.davidsonandlicht.com/product/772/,http://www.davidsonandlicht.com/wp-content/uploads/772-B-507x380.jpg,,,Platinum,1,1,1,3
49,1,12409,Very Good,3,VVS1,6,D,7,Princess,Solitaire,palladium,Davidson & Licht,H. Levi  772,Basket Knife Edge  Plat. Cntr PR 0.50ct,H. Levi  772,1,http://www.davidsonandlicht.com/product/772/,http://www.davidsonandlicht.com/wp-content/uploads/772-B-507x380.jpg,,,palladium,1,1,1,3
50,0.5,3769,Very Good,3,VVS1,6,D,7,Princess,3 Stone,White Gold,Davidson & Licht,H. Levi  571,QueenDeborahMicroPave(0.15ctw)-Plat.CntrPR 0.50ctSidesPR 0.40ctw,H. Levi  571,1,http://www.davidsonandlicht.com/product/571/,http://www.davidsonandlicht.com/wp-content/uploads/571-B-507x380.jpg,,,White Gold,1,1,1,3
51,0.5,4769,Very Good,3,VVS1,6,D,7,Princess,3 Stone,Platinum,Davidson & Licht,H. Levi  571,QueenDeborahMicroPave(0.15ctw)-Plat.CntrPR 0.50ctSidesPR 0.40ctw,H. Levi  571,1,http://www.davidsonandlicht.com/product/571/,http://www.davidsonandlicht.com/wp-content/uploads/571-B-507x380.jpg,,,Platinum,1,1,1,3
52,0.5,5269,Very Good,3,VVS1,6,D,7,Princess,3 Stone,palladium,Davidson & Licht,H. Levi  571,QueenDeborahMicroPave(0.15ctw)-Plat.CntrPR 0.50ctSidesPR 0.40ctw,H. Levi  571,1,http://www.davidsonandlicht.com/product/571/,http://www.davidsonandlicht.com/wp-content/uploads/571-B-507x380.jpg,,,palladium,1,1,1,3
53,1,7825,Very Good,3,VS1,4,D,7,Princess,Solitaire,White Gold,Davidson & Licht,H. Levi  772,Basket Knife Edge  Plat. Cntr PR 0.50ct,H. Levi  772,1,http://www.davidsonandlicht.com/product/772/,http://www.davidsonandlicht.com/wp-content/uploads/772-B-507x380.jpg,,,White Gold,1,1,1,3
54,1,8825,Very Good,3,VS1,4,D,7,Princess,Solitaire,Platinum,Davidson & Licht,H. Levi  772,Basket Knife Edge  Plat. Cntr PR 0.50ct,H. Levi  772,1,http://www.davidsonandlicht.com/product/772/,http://www.davidsonandlicht.com/wp-content/uploads/772-B-507x380.jpg,,,Platinum,1,1,1,3
55,1,9325,Very Good,3,VS1,4,D,7,Princess,Solitaire,palladium,Davidson & Licht,H. Levi  772,Basket Knife Edge  Plat. Cntr PR 0.50ct,H. Levi  772,1,http://www.davidsonandlicht.com/product/772/,http://www.davidsonandlicht.com/wp-content/uploads/772-B-507x380.jpg,,,palladium,1,1,1,3
56,0.5,1915,Very Good,3,VS1,4,D,7,Princess,Solitaire,White Gold,Davidson & Licht,H. Levi  776,Queen Deborah Solitaire  Plat. Cntr PR 0.50ct,H. Levi  776,1,http://www.davidsonandlicht.com/product/776/,http://www.davidsonandlicht.com/wp-content/uploads/776-B-507x380.jpg,,,White Gold,1,1,1,3
57,0.5,2915,Very Good,3,VS1,4,D,7,Princess,Solitaire,Platinum,Davidson & Licht,H. Levi  776,Queen Deborah Solitaire  Plat. Cntr PR 0.50ct,H. Levi  776,1,http://www.davidsonandlicht.com/product/776/,http://www.davidsonandlicht.com/wp-content/uploads/776-B-507x380.jpg,,,Platinum,1,1,1,3
58,0.5,3415,Very Good,3,VS1,4,D,7,Princess,Solitaire,palladium,Davidson & Licht,H. Levi  776,Queen Deborah Solitaire  Plat. Cntr PR 0.50ct,H. Levi  776,1,http://www.davidsonandlicht.com/product/776/,http://www.davidsonandlicht.com/wp-content/uploads/776-B-507x380.jpg,,,palladium,1,1,1,3
59,0.25,455,Very Good,3,VS1,4,D,7,Princess,Solitaire,White Gold,Davidson & Licht,H. Levi  776,Queen Deborah Solitaire  Plat. Cntr PR 0.50ct,H. Levi  776,1,http://www.davidsonandlicht.com/product/776/,http://www.davidsonandlicht.com/wp-content/uploads/776-B-507x380.jpg,,,White Gold,1,1,1,3
60,0.25,1455,Very Good,3,VS1,4,D,7,Princess,Solitaire,Platinum,Davidson & Licht,H. Levi  776,Queen Deborah Solitaire  Plat. Cntr PR 0.50ct,H. Levi  776,1,http://www.davidsonandlicht.com/product/776/,http://www.davidsonandlicht.com/wp-content/uploads/776-B-507x380.jpg,,,Platinum,1,1,1,3
61,0.25,1955,Very Good,3,VS1,4,D,7,Princess,Solitaire,palladium,Davidson & Licht,H. Levi  776,Queen Deborah Solitaire  Plat. Cntr PR 0.50ct,H. Levi  776,1,http://www.davidsonandlicht.com/product/776/,http://www.davidsonandlicht.com/wp-content/uploads/776-B-507x380.jpg,,,palladium,1,1,1,3
62,1,8067,Very Good,3,VS1,4,D,7,Princess,Pave,White Gold,Davidson & Licht,H. Levi  774,Queen Deborah Solitaire Pave (0.06ctw)  Plat. Cntr PR 0.50ct,H. Levi  774,1,http://www.davidsonandlicht.com/product/774/,http://www.davidsonandlicht.com/wp-content/uploads/774-B-507x380.jpg,,,White Gold,1,1,1,3
63,1,9067,Very Good,3,VS1,4,D,7,Princess,Pave,Platinum,Davidson & Licht,H. Levi  774,Queen Deborah Solitaire Pave (0.06ctw)  Plat. Cntr PR 0.50ct,H. Levi  774,1,http://www.davidsonandlicht.com/product/774/,http://www.davidsonandlicht.com/wp-content/uploads/774-B-507x380.jpg,,,Platinum,1,1,1,3
